client,accuracy,precision_macro,recall_macro,f1_macro
158324,0.4433724832214765,0.3885196655148229,0.4272492065614655,0.3960874628685708
158386,0.4238712776176753,0.3662796321799739,0.42874017986636753,0.3636690201548354
158536,0.4608275572358748,0.3298599799725372,0.34514246149774713,0.3039802896802502
158655,0.474828645710234,0.364545479032054,0.42685129440096325,0.3098743106212159
178548,0.5107323232323232,0.5745929188705764,0.5384745123241858,0.5222491718456957
178821,0.4559199813910212,0.34961092640253194,0.4937815769582687,0.25350888080305906
178929,0.5059987371079773,0.5577664274554661,0.5057270238019441,0.5160244311116037
179038,0.3904571571321509,0.43628778559401865,0.41702131828924593,0.3605918104935917
179148,0.4040379469715398,0.37865416252367484,0.4443786676834128,0.349311762733817
179202,0.41706958166911917,0.47683742702482723,0.4469350507650039,0.39535544712498166
180601,0.45027214250371106,0.49975595649962484,0.4639233975660271,0.45260112209295866
180872,0.3587576589900697,0.41842594180553777,0.3739280585174461,0.3633387564114772
