round,client,raw_update_norm,clip_scale,noise_std,local_seconds
1,trafficData158324.csv,0.9217468743767303,1.0,0.0,0.027999560000012025
1,trafficData158386.csv,0.8898089313791008,1.0,0.0,0.01669749400002729
1,trafficData158536.csv,0.9455379230366985,1.0,0.0,0.023251392000020132
1,trafficData158655.csv,0.9153647831009736,1.0,0.0,0.02136177899996028
1,trafficData178548.csv,0.9154364721461004,1.0,0.0,0.01832765599999675
1,trafficData178821.csv,1.157951119203873,0.8635943118969194,0.0,0.01679115100000672
1,trafficData178929.csv,1.181161908650201,0.8466239832792487,0.0,0.018392767000023014
1,trafficData179038.csv,0.728891707113611,1.0,0.0,0.015004426000018611
1,trafficData179148.csv,0.7937696791358017,1.0,0.0,0.016084396000053403
1,trafficData179202.csv,0.7105379677820343,1.0,0.0,0.019391041999995196
1,trafficData180601.csv,0.8499099711417535,1.0,0.0,0.015721249999955944
1,trafficData180872.csv,0.5431457818684842,1.0,0.0,0.01812023500002624
2,trafficData158324.csv,0.4467585465217956,1.0,0.0,0.03449989599999981
2,trafficData158386.csv,0.4150872896518136,1.0,0.0,0.02321748999997908
2,trafficData158536.csv,0.5527450215070143,1.0,0.0,0.028170666999983496
2,trafficData158655.csv,0.7772874992177262,1.0,0.0,0.02143632899998238
2,trafficData178548.csv,0.5095101636807108,1.0,0.0,0.01996814199998198
2,trafficData178821.csv,1.1967373338281901,0.8356052508200011,0.0,0.017008552999982385
2,trafficData178929.csv,0.8456767724689482,1.0,0.0,0.01845247900001823
2,trafficData179038.csv,0.3983707824261125,1.0,0.0,0.015824833000010585
2,trafficData179148.csv,0.4357889584274885,1.0,0.0,0.016064223000000766
2,trafficData179202.csv,0.2927025146476478,1.0,0.0,0.0199519440000131
2,trafficData180601.csv,0.46353190105522996,1.0,0.0,0.016720108000015443
2,trafficData180872.csv,0.224380500882442,1.0,0.0,0.01859468499998229
3,trafficData158324.csv,0.36028373546173054,1.0,0.0,0.026659375000008367
3,trafficData158386.csv,0.3363172910265355,1.0,0.0,0.041063941000004434
3,trafficData158536.csv,0.4986061565295128,1.0,0.0,0.04428849999999329
3,trafficData158655.csv,0.7290776512715891,1.0,0.0,0.017301594999992176
3,trafficData178548.csv,0.4609808078714738,1.0,0.0,0.01849991799997497
3,trafficData178821.csv,1.191732533144023,0.8391144591487871,0.0,0.016607023000005938
3,trafficData178929.csv,0.8054999211199558,1.0,0.0,0.018339138000044386
3,trafficData179038.csv,0.37256097995668813,1.0,0.0,0.019594353999991654
3,trafficData179148.csv,0.3996073989238886,1.0,0.0,0.015992596000046433
3,trafficData179202.csv,0.26750395855176917,1.0,0.0,0.018620696000027692
3,trafficData180601.csv,0.40193071049405965,1.0,0.0,0.015350645000012264
3,trafficData180872.csv,0.31685648151501783,1.0,0.0,0.01847254899996642
4,trafficData158324.csv,0.33963886553193756,1.0,0.0,0.02915325699996174
4,trafficData158386.csv,0.30726067385828176,1.0,0.0,0.02329363699999476
4,trafficData158536.csv,0.48438359764493044,1.0,0.0,0.02761879300004466
4,trafficData158655.csv,0.7514883053566959,1.0,0.0,0.02588899599999195
4,trafficData178548.csv,0.4482700585957545,1.0,0.0,0.018415426999979445
4,trafficData178821.csv,1.186814333526773,0.8425917784692805,0.0,0.016971352000041406
4,trafficData178929.csv,0.785680271643911,1.0,0.0,0.01795802200001617
4,trafficData179038.csv,0.3789445757987709,1.0,0.0,0.01817434799994544
4,trafficData179148.csv,0.39173824603062457,1.0,0.0,0.018602821999991193
4,trafficData179202.csv,0.2689855303177664,1.0,0.0,0.020418308999978763
4,trafficData180601.csv,0.38746955406306294,1.0,0.0,0.01562886200002822
4,trafficData180872.csv,0.3468121414570507,1.0,0.0,0.018692493000003196
5,trafficData158324.csv,0.3218985796671687,1.0,0.0,0.02763323199997103
5,trafficData158386.csv,0.3017848758011325,1.0,0.0,0.023264439000001857
5,trafficData158536.csv,0.4807738847801912,1.0,0.0,0.02703779999995959
5,trafficData158655.csv,0.7609077063299443,1.0,0.0,0.025572705999991285
5,trafficData178548.csv,0.4317871166113769,1.0,0.0,0.023735611999995854
5,trafficData178821.csv,1.1575254830404278,0.8639118660027029,0.0,0.016535099000009268
5,trafficData178929.csv,0.7753772714529548,1.0,0.0,0.017961997000043084
5,trafficData179038.csv,0.3794245877565409,1.0,0.0,0.01527961200002892
5,trafficData179148.csv,0.3798639922747339,1.0,0.0,0.015433890999986488
5,trafficData179202.csv,0.27030087297619165,1.0,0.0,0.018308536999995795
5,trafficData180601.csv,0.38504927818399026,1.0,0.0,0.016522119000001112
5,trafficData180872.csv,0.3687952127985574,1.0,0.0,0.01841672099999414
