round,accuracy,precision_macro,recall_macro,f1_macro,validation_f1,round_seconds,epsilon_total
1,0.5716293187439107,0.5306944726236633,0.5684065189509209,0.5400504998209325,0.5517260714432329,0.2739778689999639,
2,0.576950460915836,0.543972312046395,0.5693772602364148,0.5528710700241938,0.5664368559952627,0.29543813599997293,
3,0.5812598366184516,0.5535466412465758,0.5728987016297361,0.560521549345859,0.5727945309614936,0.3160423549999791,
4,0.58127857303455,0.5552382043617581,0.5723779126341567,0.5612094899987704,0.5747765675582172,0.29703786700002865,
5,0.5832458967248745,0.5602840744662048,0.5722804214878573,0.5641373929799879,0.5771721354195071,0.29133398999999827,
