round,accuracy,precision_macro,recall_macro,f1_macro,validation_f1,round_seconds,epsilon_total
1,0.3731919358465113,0.3423562116837469,0.3395539753131782,0.33175747411823064,0.32903989691874463,0.4350755529999901,1.6
2,0.29251292812710783,0.3114496222344567,0.3437347360743405,0.2959614207849633,0.30455662744499756,0.5341777330000355,3.2
3,0.3389042943865697,0.30788851531781947,0.3106657812456855,0.30773565833195676,0.3027760990736124,0.4500963560000173,4.800000000000001
4,0.39745559469384695,0.3304845532099142,0.3320363998940823,0.3280529088428456,0.31927807238234485,0.5253750059999902,6.4
5,0.44216068350445925,0.4467237950106407,0.44204898448890817,0.4326377423337397,0.4206646726724294,0.5157106070000168,8.0
