round,client,raw_update_norm,clip_scale,noise_std,local_seconds
1,trafficData158324.csv,0.9217468743767303,1.0,3.028003289128368,0.05697086800000761
1,trafficData158386.csv,0.8898089313791008,1.0,3.028003289128368,0.028577148000010766
1,trafficData158536.csv,0.9455379230366985,1.0,3.028003289128368,0.03393691499996976
1,trafficData158655.csv,0.9153647831009736,1.0,3.028003289128368,0.025051281999992625
1,trafficData178548.csv,0.9154364721461004,1.0,3.028003289128368,0.028282681000007415
1,trafficData178821.csv,1.157951119203873,0.8635943118969194,3.028003289128368,0.026251274999992802
1,trafficData178929.csv,1.181161908650201,0.8466239832792487,3.028003289128368,0.028167951000000357
1,trafficData179038.csv,0.728891707113611,1.0,3.028003289128368,0.02377200799998036
1,trafficData179148.csv,0.7937696791358017,1.0,3.028003289128368,0.02383594900004482
1,trafficData179202.csv,0.7105379677820343,1.0,3.028003289128368,0.027754004999962945
1,trafficData180601.csv,0.8499099711417535,1.0,3.028003289128368,0.024168236999969395
1,trafficData180872.csv,0.5431457818684842,1.0,3.028003289128368,0.027981981000039013
2,trafficData158324.csv,2.696087738387,0.3709078105143208,3.028003289128368,0.0599068460000467
2,trafficData158386.csv,2.487497555584686,0.40201044529852736,3.028003289128368,0.03287850100002743
2,trafficData158536.csv,2.3453500588645966,0.4263755835594461,3.028003289128368,0.02871556600001668
2,trafficData158655.csv,1.7791420406272858,0.5620686697093955,3.028003289128368,0.026667064000037044
2,trafficData178548.csv,2.144459339482312,0.466318004537657,3.028003289128368,0.028837372999987565
2,trafficData178821.csv,1.9848844201958504,0.5038076725398576,3.028003289128368,0.02640840300000491
2,trafficData178929.csv,2.199619836986549,0.45462401419762266,3.028003289128368,0.032449326000005385
2,trafficData179038.csv,1.9064548197379418,0.5245338046547223,3.028003289128368,0.027763213000014275
2,trafficData179148.csv,1.9844636412878216,0.5039144982019141,3.028003289128368,0.027811543999973765
2,trafficData179202.csv,2.208186107991189,0.4528603800108398,3.028003289128368,0.03221942600004013
2,trafficData180601.csv,2.1318240996948106,0.4690818534900181,3.028003289128368,0.0269231780000041
2,trafficData180872.csv,2.2107000884904697,0.45234539284900316,3.028003289128368,0.0333983959999955
3,trafficData158324.csv,2.046466464215593,0.48864714740527615,3.028003289128368,0.05012972599996601
3,trafficData158386.csv,2.2464007661117225,0.44515654334041516,3.028003289128368,0.032620935000011286
3,trafficData158536.csv,1.5279045357768697,0.6544911521523111,3.028003289128368,0.03342472399998542
3,trafficData158655.csv,1.7031547101114264,0.5871457208570261,3.028003289128368,0.033614500999988195
3,trafficData178548.csv,2.143769203455116,0.46646812464132426,3.028003289128368,0.033533636000015576
3,trafficData178821.csv,1.8922475582188096,0.5284720784318416,3.028003289128368,0.027356120999968425
3,trafficData178929.csv,1.915489147557113,0.5220598619808476,3.028003289128368,0.037487721999980295
3,trafficData179038.csv,1.6222165807712994,0.6164404999016366,3.028003289128368,0.026453215000003638
3,trafficData179148.csv,1.7754800604911676,0.5632279529643366,3.028003289128368,0.024314699999990808
3,trafficData179202.csv,1.8553204942359818,0.5389904348635245,3.028003289128368,0.028897145000030378
3,trafficData180601.csv,2.0728140808650286,0.48243593539377955,3.028003289128368,0.02437837299999046
3,trafficData180872.csv,1.8731128064182891,0.5338706758999937,3.028003289128368,0.02769132099996341
4,trafficData158324.csv,2.7287334223642326,0.3664703894502132,3.028003289128368,0.04941939800005457
4,trafficData158386.csv,2.8406890181211693,0.3520272700110791,3.028003289128368,0.060823051999989275
4,trafficData158536.csv,2.3338967900836924,0.42846796150043637,3.028003289128368,0.02882861000000503
4,trafficData158655.csv,2.2080084582465322,0.45289681580010205,3.028003289128368,0.031544096999994053
4,trafficData178548.csv,2.7176528531111988,0.3679645834289766,3.028003289128368,0.027679506999959358
4,trafficData178821.csv,3.006850158900111,0.3325739385581694,3.028003289128368,0.026295211000046947
4,trafficData178929.csv,2.555926056259287,0.3912476253179068,3.028003289128368,0.03163202499996487
4,trafficData179038.csv,2.198504400281389,0.45485467296383575,3.028003289128368,0.03172648799994704
4,trafficData179148.csv,2.3711704639104427,0.42173264858841775,3.028003289128368,0.027028357000006054
4,trafficData179202.csv,2.4415508438715015,0.40957574261034735,3.028003289128368,0.03831890199995769
4,trafficData180601.csv,2.5336284626833008,0.39469086124037733,3.028003289128368,0.030245054999966214
4,trafficData180872.csv,2.192502422707795,0.45609983808570614,3.028003289128368,0.03363422699999319
5,trafficData158324.csv,3.3839868989782014,0.2955094182845848,3.028003289128368,0.08118784200001983
5,trafficData158386.csv,3.296267612855791,0.30337342638673853,3.028003289128368,0.03346645900001022
5,trafficData158536.csv,3.3671989796515076,0.29698274620622483,3.028003289128368,0.04100683500001878
5,trafficData158655.csv,2.761054847265292,0.36218041846944676,3.028003289128368,0.03371882299995832
5,trafficData178548.csv,2.7639055180187055,0.36180686838980086,3.028003289128368,0.03528634100001682
5,trafficData178821.csv,3.2046298951230865,0.3120485150318049,3.028003289128368,0.03122591400000374
5,trafficData178929.csv,2.945243477699959,0.33953050318970385,3.028003289128368,0.03448694999997315
5,trafficData179038.csv,2.9504502893573457,0.3389313162152875,3.028003289128368,0.02923267900001747
5,trafficData179148.csv,3.205231858220139,0.3119899103196193,3.028003289128368,0.03024999100000514
5,trafficData179202.csv,2.8560119546423532,0.3501385904124746,3.028003289128368,0.034480181000049015
5,trafficData180601.csv,2.589617871425755,0.386157359753255,3.028003289128368,0.029656655999986015
5,trafficData180872.csv,3.010759274290973,0.3321421305710885,3.028003289128368,0.03582240399998682
