epsilon,accuracy,precision_macro,recall_macro,f1_macro,training_seconds,noise_std_per_round,selected
0.5,0.3250018736416098,0.3011959346372848,0.3033181703123438,0.2830723901267747,1.4439873430000034,48.44805262605389,False
1.0,0.32908641235104547,0.30949727972858126,0.30869781825502507,0.28957294299901365,1.4847175549999747,24.224026313026943,False
2.0,0.34094656374128757,0.32957282303511515,0.3230465659488379,0.3069920443297208,1.4930676939999898,12.112013156513472,False
4.0,0.37354792775237955,0.3748850019581707,0.36196740540050604,0.35166691032902797,1.909553007999989,6.056006578256736,False
8.0,0.44216068350445925,0.4467237950106407,0.44204898448890817,0.4326377423337397,2.4604638019999925,3.028003289128368,True
